"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250401","9호선","국회의사당","20014","20920","20250404",""
"20250401","9호선","여의도","35029","33788","20250404",""
"20250401","9호선","샛강","7578","7542","20250404",""
"20250401","9호선","노량진","28484","28426","20250404",""
"20250401","9호선","노들","5826","4900","20250404",""
"20250401","9호선","흑석(중앙대입구)","12418","12655","20250404",""
"20250401","9호선","동작(현충원)","2142","1986","20250404",""
"20250401","9호선","구반포","2115","1978","20250404",""
"20250401","9호선","신반포","4938","4695","20250404",""
"20250401","9호선","고속터미널","14335","18720","20250404",""
"20250401","9호선","사평","4582","4499","20250404",""
"20250401","9호선","신논현","32878","32647","20250404",""
"20250401","9호선2~3단계","언주","13278","13505","20250404",""
"20250401","9호선2~3단계","선정릉","12115","12910","20250404",""
"20250401","9호선2~3단계","삼성중앙","9297","9689","20250404",""
"20250401","9호선2~3단계","봉은사","22693","23843","20250404",""
"20250401","9호선2~3단계","종합운동장","5790","5833","20250404",""
"20250401","9호선2~3단계","삼전","9163","8892","20250404",""
"20250401","9호선2~3단계","석촌고분","8186","8124","20250404",""
"20250401","9호선2~3단계","석촌","10483","9802","20250404",""
"20250401","9호선2~3단계","송파나루","6323","6637","20250404",""
"20250401","9호선2~3단계","한성백제","3462","3076","20250404",""
"20250401","9호선2~3단계","올림픽공원(한국체대)","7377","7698","20250404",""
"20250401","9호선2~3단계","둔촌오륜","4779","4582","20250404",""
"20250401","9호선2~3단계","중앙보훈병원","14566","12811","20250404",""
"20250401","경강선","판교","6399","6295","20250404",""
"20250401","경강선","이매","1123","1079","20250404",""
"20250401","경강선","삼동","2798","2540","20250404",""
"20250401","경강선","경기광주","8934","8598","20250404",""
"20250401","경강선","초월","4177","3945","20250404",""
"20250401","경강선","곤지암","2594","2548","20250404",""
"20250401","경강선","신둔도예촌","1724","1552","20250404",""
"20250401","경강선","이천","2959","3095","20250404",""
"20250401","경강선","부발","2430","2383","20250404",""
"20250401","경강선","세종대왕릉","374","385","20250404",""
"20250401","경강선","여주","3082","3057","20250404",""
"20250401","경강선","성남","1274","1073","20250404",""
"20250401","경부선","서울역","7432","3134","20250404",""
"20250401","경부선","남영","10815","11695","20250404",""
"20250401","경부선","용산","35996","36662","20250404",""
"20250401","경부선","노량진","9005","9033","20250404",""
"20250401","경부선","대방","12010","13378","20250404",""
"20250401","경부선","영등포","39956","40033","20250404",""
"20250401","경부선","신도림","4497","4701","20250404",""
"20250401","경부선","신길","9823","9041","20250404",""
"20250401","경부선","구로","19088","19464","20250404",""
"20250401","경부선","가산디지털단지","21675","24485","20250404",""
"20250401","경부선","금천구청","12373","12748","20250404",""
"20250401","경부선","석수","9330","8700","20250404",""
"20250401","경부선","관악","8113","7792","20250404",""
"20250401","경부선","안양","29605","29211","20250404",""
"20250401","경부선","명학","10927","10767","20250404",""
"20250401","경부선","금정","31684","32340","20250404",""
"20250401","경부선","군포","8009","7770","20250404",""
"20250401","경부선","의왕","11005","10781","20250404",""
"20250401","경부선","성균관대","18597","18181","20250404",""
"20250401","경부선","화서","11959","11488","20250404",""
"20250401","경부선","수원","39350","41510","20250404",""
"20250401","경부선","독산","19900","20178","20250404",""
"20250401","경부선","세류","3786","3474","20250404",""
"20250401","경부선","병점","18543","18407","20250404",""
"20250401","경부선","세마","3808","3643","20250404",""
"20250401","경부선","오산대","4731","4326","20250404",""
"20250401","경부선","오산","11687","11743","20250404",""
"20250401","경부선","진위","1995","1784","20250404",""
"20250401","경부선","송탄","4761","4615","20250404",""
"20250401","경부선","서정리","8847","8313","20250404",""
"20250401","경부선","평택지제","4641","4478","20250404",""
"20250401","경부선","평택","13838","13868","20250404",""
"20250401","경부선","성환","8206","8117","20250404",""
"20250401","경부선","직산","1159","1179","20250404",""
"20250401","경부선","두정","9803","11239","20250404",""
"20250401","경부선","천안","8500","7108","20250404",""
"20250401","경부선","당정","7972","7450","20250404",""
"20250401","경부선","서동탄","1697","1367","20250404",""
"20250401","경부선","광명","3831","3382","20250404",""
"20250401","경원선","이촌(국립중앙박물관)","4386","3536","20250404",""
"20250401","경원선","서빙고","2535","2414","20250404",""
"20250401","경원선","한남","3999","3825","20250404",""
"20250401","경원선","옥수","73","56","20250404",""
"20250401","2호선","신정네거리","11540","11956","20250404",""
"20250401","경원선","응봉","2687","2954","20250404",""
"20250401","경원선","왕십리(성동구청)","17715","17378","20250404",""
"20250401","경원선","청량리(서울시립대입구)","16535","17847","20250404",""
"20250401","경원선","외대앞","12747","12627","20250404",""
"20250401","경원선","신이문","9046","8490","20250404",""
"20250401","경원선","석계","7999","9080","20250404",""
"20250401","경원선","광운대","10646","10508","20250404",""
"20250401","경원선","월계","9119","8451","20250404",""
"20250401","경원선","녹천","4929","4185","20250404",""
"20250401","경원선","방학","10799","10543","20250404",""
"20250401","경원선","도봉","6754","6377","20250404",""
"20250401","경원선","도봉산","8641","5695","20250404",""
"20250401","경원선","망월사","11123","11224","20250404",""
"20250401","경원선","회룡","14840","14456","20250404",""
"20250401","경원선","의정부","20008","20426","20250404",""
"20250401","경원선","가능","7307","7089","20250404",""
"20250401","경원선","녹양","4914","4621","20250404",""
"20250401","경원선","양주","8428","8061","20250404",""
"20250401","경원선","덕계","6921","6419","20250404",""
"20250401","경원선","덕정","7821","7357","20250404",""
"20250401","경원선","지행","7098","7084","20250404",""
"20250401","경원선","동두천중앙","3327","3324","20250404",""
"20250401","경원선","보산","1658","1545","20250404",""
"20250401","경원선","동두천","2749","2684","20250404",""
"20250401","경원선","소요산","1840","1809","20250404",""
"20250401","경원선","청산","167","126","20250404",""
"20250401","경원선","전곡","1180","999","20250404",""
"20250401","경원선","연천","1185","1148","20250404",""
"20250401","경의선","서울역","3939","5269","20250404",""
"20250401","경의선","신촌","1241","1526","20250404",""
"20250401","경의선","효창공원앞","3859","4131","20250404",""
"20250401","경의선","공덕","4301","3649","20250404",""
"20250401","경의선","서강대","2638","2617","20250404",""
"20250401","경의선","홍대입구","2092","2316","20250404",""
"20250401","경의선","가좌","6725","6483","20250404",""
"20250401","경의선","디지털미디어시티","2880","2781","20250404",""
"20250401","경의선","수색","3702","3752","20250404",""
"20250401","경의선","한국항공대","4515","4287","20250404",""
"20250401","경의선","강매","3701","3192","20250404",""
"20250401","경의선","행신","8406","8775","20250404",""
"20250401","경의선","능곡","5258","4938","20250404",""
"20250401","경의선","곡산","750","813","20250404",""
"20250401","경의선","백마","8275","8185","20250404",""
"20250401","경의선","풍산","7005","6768","20250404",""
"20250401","경의선","일산","12328","12093","20250404",""
"20250401","경의선","탄현","8741","8322","20250404",""
"20250401","경의선","야당","8504","8711","20250404",""
"20250401","경의선","운정","7834","7392","20250404",""
"20250401","경의선","금릉","5572","5489","20250404",""
"20250401","경의선","금촌","7476","7203","20250404",""
"20250401","경의선","월롱","2547","2262","20250404",""
"20250401","경의선","파주","1767","1429","20250404",""
"20250401","경의선","문산","5754","5469","20250404",""
"20250401","경의선","임진강","5","6","20250404",""
"20250401","경의선","운천","1","4","20250404",""
"20250401","경인선","개봉","24781","24812","20250404",""
"20250401","경인선","오류동","12679","12164","20250404",""
"20250401","경인선","역곡","31002","30750","20250404",""
"20250401","경인선","부천","33675","33451","20250404",""
"20250401","경인선","송내","29277","28886","20250404",""
"20250401","경인선","부평","29693","31155","20250404",""
"20250401","경인선","백운","7880","7703","20250404",""
"20250401","경인선","동암","16523","16722","20250404",""
"20250401","경인선","주안","20435","18441","20250404",""
"20250401","경인선","제물포","12749","12308","20250404",""
"20250401","경인선","동인천","14207","13226","20250404",""
"20250401","경인선","인천","3917","3084","20250404",""
"20250401","경인선","구일","8319","8270","20250404",""
"20250401","경인선","소사","8460","7902","20250404",""
"20250401","경인선","부개","9630","9064","20250404",""
"20250401","경인선","간석","6196","5993","20250404",""
"20250401","경인선","도원","3642","3778","20250404",""
"20250401","경인선","온수(성공회대입구)","7472","7087","20250404",""
"20250401","경인선","중동","10377","9689","20250404",""
"20250401","경인선","도화","4694","4158","20250404",""
"20250401","경춘선","신내","3382","3144","20250404",""
"20250401","경춘선","갈매","3102","2675","20250404",""
"20250401","경춘선","별내","2781","2535","20250404",""
"20250401","경춘선","퇴계원","3788","3416","20250404",""
"20250401","경춘선","사릉","2479","2431","20250404",""
"20250401","경춘선","금곡","1853","1849","20250404",""
"20250401","경춘선","평내호평","7328","7096","20250404",""
"20250401","경춘선","천마산","1765","1622","20250404",""
"20250401","경춘선","마석","4567","4339","20250404",""
"20250401","경춘선","대성리","505","549","20250404",""
"20250401","경춘선","청평","1788","1757","20250404",""
"20250401","경춘선","상천","298","265","20250404",""
"20250401","경춘선","가평","1816","1837","20250404",""
"20250401","경춘선","굴봉산","125","124","20250404",""
"20250401","경춘선","백양리","46","58","20250404",""
"20250401","경춘선","강촌","586","557","20250404",""
"20250401","경춘선","김유정","447","436","20250404",""
"20250401","중앙선","양수","2031","2040","20250404",""
"20250401","중앙선","운길산","780","787","20250404",""
"20250401","중앙선","팔당","825","803","20250404",""
"20250401","중앙선","도심","2905","2237","20250404",""
"20250401","중앙선","덕소","5940","6036","20250404",""
"20250401","중앙선","양정","622","531","20250404",""
"20250401","중앙선","도농","11070","10140","20250404",""
"20250401","우이신설선","북한산우이","3283","2991","20250404",""
"20250401","안산선","수리산","4679","3834","20250404",""
"20250401","안산선","오이도","8802","8670","20250404",""
"20250401","안산선","정왕","12263","12320","20250404",""
"20250401","안산선","신길온천","2459","2176","20250404",""
"20250401","안산선","안산","12784","11661","20250404",""
"20250401","안산선","초지","6157","6310","20250404",""
"20250401","안산선","고잔","10083","9807","20250404",""
"20250401","우이신설선","삼양","2780","2910","20250404",""
"20250401","우이신설선","삼양사거리","2975","3002","20250404",""
"20250401","우이신설선","솔샘","6913","6601","20250404",""
"20250401","우이신설선","북한산보국문","7659","7356","20250404",""
"20250401","우이신설선","정릉","5566","5106","20250404",""
"20250401","우이신설선","성신여대입구(돈암)","4247","4426","20250404",""
"20250401","우이신설선","보문","2000","2044","20250404",""
"20250401","우이신설선","신설동","2937","2685","20250404",""
"20250401","일산선","원흥","12898","12365","20250404",""
"20250401","일산선","삼송","21559","21033","20250404",""
"20250401","일산선","원당","13030","12657","20250404",""
"20250401","일산선","화정","19159","19757","20250404",""
"20250401","일산선","대곡","10636","9291","20250404",""
"20250401","일산선","백석","11136","11658","20250404",""
"20250401","일산선","마두","8905","8969","20250404",""
"20250401","일산선","정발산","7460","7608","20250404",""
"20250401","일산선","주엽","10157","10276","20250404",""
"20250401","일산선","대화","12758","10081","20250404",""
"20250401","장항선","봉명","1726","1673","20250404",""
"20250401","장항선","쌍용(나사렛대)","3685","3580","20250404",""
"20250401","장항선","아산","4637","4156","20250404",""
"20250401","장항선","탕정","2235","1990","20250404",""
"20250401","장항선","배방","1379","1407","20250404",""
"20250401","장항선","온양온천","4828","4962","20250404",""
"20250401","장항선","신창(순천향대)","3143","3024","20250404",""
"20250401","중앙선","회기","32293","31207","20250404",""
"20250401","중앙선","중랑","6028","5821","20250404",""
"20250401","중앙선","상봉","6198","6205","20250404",""
"20250401","중앙선","망우","8336","8100","20250404",""
"20250401","중앙선","양원","3697","3664","20250404",""
"20250401","중앙선","구리","8751","9196","20250404",""
"20250401","우이신설선","솔밭공원","3012","2857","20250404",""
"20250401","우이신설선","4.19민주묘지","5071","5064","20250404",""
"20250401","우이신설선","가오리","4864","4965","20250404",""
"20250401","우이신설선","화계","4333","4128","20250404",""
"20250401","3호선","연신내","40008","38048","20250404",""
"20250401","안산선","중앙","20179","21025","20250404",""
"20250401","안산선","한대앞","11565","11850","20250404",""
"20250401","안산선","상록수","17703","17867","20250404",""
"20250401","안산선","반월","4882","4781","20250404",""
"20250401","안산선","대야미","5569","4952","20250404",""
"20250401","안산선","산본","17806","19078","20250404",""
"20250401","신림선","관악산(서울대)","3787","3747","20250404",""
"20250401","신림선","서울대벤처타운","10813","10155","20250404",""
"20250401","신림선","서원","4025","3552","20250404",""
"20250401","신림선","신림","2509","2965","20250404",""
"20250401","신림선","당곡","5548","5323","20250404",""
"20250401","신림선","보라매병원","9302","9784","20250404",""
"20250401","신림선","보라매공원","2723","2925","20250404",""
"20250401","신림선","보라매","5067","4477","20250404",""
"20250401","신림선","서울지방병무청","3646","4014","20250404",""
"20250401","신림선","대방","3477","2855","20250404",""
"20250401","신림선","샛강","3540","4114","20250404",""
"20250401","수인선","인천","1093","1680","20250404",""
"20250401","수인선","신포","2089","2100","20250404",""
"20250401","수인선","숭의","4934","4550","20250404",""
"20250401","수인선","인하대","9776","9273","20250404",""
"20250401","수인선","송도","2859","2468","20250404",""
"20250401","수인선","연수","5162","4970","20250404",""
"20250401","수인선","원인재","4888","5127","20250404",""
"20250401","수인선","남동인더스파크","2695","3029","20250404",""
"20250401","수인선","호구포","4318","4597","20250404",""
"20250401","수인선","인천논현","6004","6398","20250404",""
"20250401","수인선","소래포구","5723","5328","20250404",""
"20250401","수인선","월곶","3300","2949","20250404",""
"20250401","수인선","달월","104","69","20250404",""
"20250401","수인선","사리","5807","5151","20250404",""
"20250401","수인선","야목","536","560","20250404",""
"20250401","수인선","어천","1909","1778","20250404",""
"20250401","수인선","오목천","5611","4904","20250404",""
"20250401","수인선","고색","6674","6428","20250404",""
"20250401","서해선","부천종합운동장","3410","2949","20250404",""
"20250401","서해선","원종","5500","5557","20250404",""
"20250401","서해선","김포공항","2779","3928","20250404",""
"20250401","분당선","매교","6200","6249","20250404",""
"20250401","분당선","수원시청","15292","16218","20250404",""
"20250401","분당선","매탄권선","6308","6282","20250404",""
"20250401","분당선","망포","17078","16664","20250404",""
